[2018-09-15 00:37:28,501] - [MainThread] - [homework6.py-line:26] [WARNING] 参数个数不对
[2018-09-15 00:52:57,866] - [MainThread] - [homework6.py-line:26] [DEBUG] 用户xiao添加成功。用户信息name = xiao,age = 80,tel = 155, addr = shanghai
[2018-09-15 01:10:43,673] - [MainThread] - [homework6.py-line:25] [DEBUG] 用户aaa添加成功。用户信息name = aaa,age = 10,tel = 1888, addr = guangdong
[2018-09-15 12:53:27,166] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-15 12:53:52,051] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-15 12:54:18,775] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-15 12:54:19,925] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-15 12:54:44,525] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-15 12:54:46,695] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-15 13:09:25,631] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-15 13:09:27,027] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-15 14:30:35,454] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-15 14:30:37,257] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-15 14:31:17,978] - [MainThread] - [action.py-line:30] [DEBUG] 用户ccc添加成功。用户信息name = ccc,age = 20,tel = 1777, addr = shenzhen
[2018-09-15 14:34:16,160] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-15 14:34:18,726] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-15 20:55:08,729] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-15 20:55:10,145] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-15 20:56:10,845] - [MainThread] - [action.py-line:32] [DEBUG] 用户BBB添加成功。用户信息name = BBB,age = 77,tel = 1987, addr = HANGZHOU
[2018-09-15 21:02:16,875] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-15 21:02:18,323] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-15 21:02:47,920] - [MainThread] - [action.py-line:36] [DEBUG] 用户NNN添加成功。用户信息name = NNN,age = 88,tel = 1323, addr = NEIMENG
[2018-09-21 15:29:15,844] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-21 15:29:17,451] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 401 83
[2018-09-21 15:31:43,204] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-21 15:31:44,676] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 401 83
[2018-09-21 15:32:54,717] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-21 15:33:01,699] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-21 15:33:49,574] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-21 15:33:51,150] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-21 15:35:15,981] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-21 15:35:22,096] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-21 15:40:47,565] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-21 15:40:49,320] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-21 15:41:16,355] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-21 15:41:17,844] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-21 15:41:33,352] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-21 15:41:34,872] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-21 15:42:29,600] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-21 15:42:31,094] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-21 15:43:33,739] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-21 15:43:35,299] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-21 15:45:21,828] - [MainThread] - [action.py-line:36] [DEBUG] 用户zhangtianguang添加成功。用户信息name = zhangtianguang,age = 33,tel = 55555, addr = beijing
[2018-09-21 15:54:41,171] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
[2018-09-21 15:54:42,952] - [MainThread] - [connectionpool.py-line:393] [DEBUG] https://api.github.com:443 "GET /user HTTP/1.1" 200 None
[2018-09-21 16:02:40,170] - [MainThread] - [connectionpool.py-line:823] [DEBUG] Starting new HTTPS connection (1): api.github.com:443
